Log file open, 05/05/15 00:36:42
LogInit:Display: Running engine for game: UEDEMO
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module TargetPlatform (20)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module InputCore (19)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Settings (18)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module OnlineSubsystem (16)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module OculusRift (15)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module ExampleDeviceProfileSelector (14)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module TextureCompressor (13)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module ShaderCore (12)
[2015.05.04-16.37.01:509][  7]LogModuleManager: Shutting down and abandoning module Landscape (11)
[2015.05.04-16.37.01:510][  7]LogModuleManager: Shutting down and abandoning module SlateRHIRenderer (10)
[2015.05.04-16.37.01:512][  7]LogModuleManager: Shutting down and abandoning module OpenGLDrv (9)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module D3D11RHI (8)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module Renderer (7)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module Engine (6)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module CoreUObject (5)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module NetworkFile (4)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module StreamingFile (3)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module SandboxFile (2)
[2015.05.04-16.37.01:513][  7]LogModuleManager: Shutting down and abandoning module PakFile (1)
[2015.05.04-16.37.01:514][  7]LogExit: Exiting.
[2015.05.04-16.37.01:554][  7]Log file closed, 05/05/15 00:37:01
